CODI_SAD;NOM_COMU_PUNT;ENTRADA_SORTIDA_CONTROL;RIU;MASSA_AIGUA;NOM_MASSA_AIGUA;X_COOR;Y_COOR
EDAR_QUART;EDAR de Quart;E;ONYAR;ES100MSPF2000360;Riu Onyar des de la confluència de la riera de Gotarra fins a l'entrada al nucli urbà de Girona, incloses les rieres de Bugantó i de Celrà;487130,2199;4646120,66
EDAR_RIBES;EDAR de Ribes de Freser;E;FRESER;ES100MSPF2000030;Capçalera del Freser fins a Campdevànol, inclosos el Rigard i el Segadell;431213,1599;4683193,82
EDAR_RIPOLL;EDAR de Ripoll;E;TER;ES100MSPF2000060;El Ter entre el Freser i la riera de Vallfogona;433880,7202;4668259,59
EDAR_RIUDELLOTS;EDAR de Riudellots de la Selva;E;ONYAR;ES100MSPF2000360;Riu Onyar des de la confluència de la riera de Gotarra fins a l'entrada al nucli urbà de Girona, incloses les rieres de Bugantó i de Celrà;484398,1699;4639637,48
EDAR_RODA;EDAR de Roda de Ter;E;TER;ES100MSPF2000210;El Ter entre el Gurri i la cua de l'embassament de Sau;442766,6498;4647377,311
EDAR_SEVA;EDAR de Seva;E;GURRI;ES100MSPF2000190;Capçalera del Gurri fins a la confluència amb la riera de Tona;438547,7303;4635773,371
EDAR_STGREGORI;EDAR de Sant Gregori;E;LLEMENA;ES100MSPF2000300;Riera de Llèmena i riera de Canet;480179,5602;4648028,75
EDAR_STHILARI;EDAR de Sant Hilari Sacalm;E;OSOR;ES100MSPF2000290;Riera d'Osor;458961,5566;4638167,774
EDAR_STJOANABADESSES;EDAR de Sant Joan de les Abadesses;E;TER;ES100MSPF2000020;El Ter entre el Ritort i el Freser;440363,9602;4675278,741
EDAR_STQUIRZE;EDAR de Sant Quirze de Besora;E;TER;ES100MSPF2000090;El Ter entre la riera de Vallfogona fins el Ges;436235,9598;4660741,03
EDAR_TARADELL;EDAR de Taradell;E;GURRI;ES100MSPF2000190;Capçalera del Gurri fins a la confluència amb la riera de Tona;438843,5097;4637418,87
EDAR_TONA;EDAR de Tona;E;GURRI;ES100MSPF2000195;Riu Gurri entre la riera de Tona i la riera de Rimentol, inclosos la riera de Tona, la conca del Mèder i la riera de Rimentol;436857,1704;4634798,59
EDAR_TORELLO;EDAR de la Vall del Ges-Torelló;E;TER;ES100MSPF2000090;El Ter entre la riera de Vallfogona fins el Ges;438480,9297;4655077,67
EDAR_TORROELLA;EDAR de Torroella de Montgrí;E;TER;ES100MSPF2000460;El Ter des de Flaçà fins al mar;512790,6603;4652603,59
EDAR_VIC;EDAR de Vic;E;GURRI;ES100MSPF2000195;Riu Gurri entre la riera de Tona i la riera de Rimentol, inclosos la riera de Tona, la conca del Mèder i la riera de Rimentol;439818,2903;4644839,05
EDAR_VILOBI;EDAR de Vilobí d'Onyar;E;ONYAR;ES100MSPF2000330;Capçalera de l'Onyar fins a la confluència de la riera de Gotarra;479115,9098;4637135,3
CONTROL_TER_SUSQUEDA;Cabal de sortida del Pantà de Susqueda;C;TER;ES100MSPF2000227;El Pasteral;460414,7;4647579,18
CONTROL_TER_SAU;Cabal de sortida del Pantà de Sau;C;TER;ES100MSPF2000222;Susqueda;460415,39;4647575,83
AFLUENT_MAJOR_TER;Riera Major;E;TER;ES100MSPF2000223;Susqueda;452105,99;4646331,49
CONTROL_RODA_TER;Cabal circulant sota el Pont Vell de Roda de Ter;C;TER;ES100MSPF2000209;El Ter entre el Gurri i la cua de l'embassament de Sau;442707,98;4647804,5
AFLUENT_GURRI;Riu Gurri;E;TER;ES100MSPF2000210;El Ter entre el Gurri i la cua de l'embassament de Sau;442151,63;4648248,47
CONTROL_VOLTREGA_TER;Cabal circulant per les Masies de Voltregà;C;TER;ES100MSPF2000060;El Ter entre el Freser i la riera de Vallfogona;438242,74;4652598,29
AFLUENT_GES;Riu Ges;E;TER;ES100MSPF2000150;El Ter entre el Ges i el Gurri;438476,81;4654881,48
CONTROL_RIPOLL_TER;Cabal circulant després de Ripoll (Colònia de Santa Maria riu i canal);C;TER;ES100MSPF2000060;El Ter entre el Freser i la riera de Vallfogona;433449,71;4669208,86
CONTROL_ABADESSES_TER;Cabal circulant (riu i central hidroelèctrica);C;TER;ES100MSPF2000020;El Ter entre el Ritort i el Freser;437269,2;4674554,8
CONTROL_CAMRPDON_TER;Cabal circulant del Riu Ter a Camprodon;C;TER;ES100MSPF2000020;El Ter entre el Ritort i el Freser;447425,71;4682297,66
