CODI_SAD;ANY;GEN_DIARI;FEB_DIARI;MAR_DIARI;ABR_DIARI;MAI_DIARI;JUN_DIARI;JUL_DIARI;AGO_DIARI;SET_DIARI;OCT_DIARI;NOV_DIARI;DES_DIARI
AFLUENT_GES;2012;0,198835013;0,171257775;0,185875982;0,205034722;0,225528225;;;;;;;
AFLUENT_GES;2013;;;;;;;;;;;;
AFLUENT_GES;2014;;;;;;;;;;;;
AFLUENT_GES;2015;;;;;;;;;;;;
AFLUENT_GES;2016;;;;;;;;;;;;
AFLUENT_GES;2017;;;;;;;;;;;;
AFLUENT_GES;2018;;;;;;;;;;;;0,192733075
AFLUENT_GES;2019;0,15692069;0,132096959;0,116581342;0,212296538;0,248115949;0,116925059;0,088100418;0,030171748;0,079125103;0,095003012;0,129621442;0,283158403
AFLUENT_GES;2020;0,446837009;0,260919064;0,180142275;0,369431535;0,245968559;0,410664423;0,191769209;0,124540103;0,161114583;0,128261453;0,241297946;0,229940377
AFLUENT_GES;2021;0,262050804;0,271860827;0,229563619;0,201538072;0,257513579;0,124154256;0,050698271;0,063324402;0,105731336;0,081223761;0,177887799;0,136777316
AFLUENT_GES;2022;0,233444844;0,093815339;0,279293249;0,266215334;0,196494191;0,077552532;0,024784703;0,107622831;0,181233529;0,124535498;0,095797982;0,105680919
AFLUENT_GES;2023;0,081490985;0,198015596;0,134302114;0,092321128;0,181604935;0,229742806;0,067915103;0,031029696;0,054606794;0,042136065;0,061686602;0,075165877
AFLUENT_GES;2024;0,079982194;0,073468804;0,151748959;0,159975331;0,207472135;0,324771111;0,119036844;0,122993816;0,083042389;0,133886005;0,185852498;0,162458525
AFLUENT_GES;2025;0,127258254;0,167890191;0,437273858;0,282773905;0,282692934;0,117811601;0,144947181;;;;;
AFLUENT_GOTARRA_ONYAR;2007;0,00043871;0,405039286;0,036951613;1,84773;0,113729032;0,023766667;0,000764286;0,01083;0,030033333;0,044651613;0,007696296;0,052955172
AFLUENT_GOTARRA_ONYAR;2008;0,024186667;0,101948148;0,702277419;0,871546667;0,559354839;0,871847222;0,022609677;0,001054435;0,003089583;0,051186492;0,587271528;1,254498285
